        Banana Delmonte        ,https://media.sultan-center.com/media/catalog/product/cache/d78cc041297526ec9177698ec54c1a78/3/0/303153493.jpg,"('images/Banana Delmonte.jpg', <http.client.HTTPMessage object at 0x044B8DD0>)",                    500g        
        Bio Taino Organic Banana         ,https://media.sultan-center.com/media/catalog/product/cache/d78cc041297526ec9177698ec54c1a78/3/0/301379704.jpg,"('images/Bio Taino Organic Banana.jpg', <http.client.HTTPMessage object at 0x044B8FB0>)",                    Per Kg        
        Apple Red Usa Jumbo        ,https://media.sultan-center.com/media/catalog/product/cache/d78cc041297526ec9177698ec54c1a78/1/0/100450079.jpg,"('images/Apple Red Usa Jumbo.jpg', <http.client.HTTPMessage object at 0x044B8D10>)",                    per kg        
        American Yellow Apple         ,https://media.sultan-center.com/media/catalog/product/cache/d78cc041297526ec9177698ec54c1a78/1/0/100476698.jpg,"('images/American Yellow Apple.jpg', <http.client.HTTPMessage object at 0x044B8BD0>)",                    Price Per Kg        
        USA Red Apple        ,https://media.sultan-center.com/media/catalog/product/cache/d78cc041297526ec9177698ec54c1a78/1/0/100450636.jpg,"('images/USA Red Apple.jpg', <http.client.HTTPMessage object at 0x044B8E70>)",                    Price Per Kg        
        French Gala Royal Red Apple        ,https://media.sultan-center.com/media/catalog/product/cache/d78cc041297526ec9177698ec54c1a78/1/0/100454014_2.jpg,"('images/French Gala Royal Red Apple.jpg', <http.client.HTTPMessage object at 0x044B8DF0>)",                    Price Per Kg        
        French Granny Smith Green Apple        ,https://media.sultan-center.com/media/catalog/product/cache/d78cc041297526ec9177698ec54c1a78/1/0/100450728_1.jpg,"('images/French Granny Smith Green Apple.jpg', <http.client.HTTPMessage object at 0x044B8E30>)",                    Price Per Kg        
        Apple Royal Gala Italy        ,https://media.sultan-center.com/media/catalog/product/cache/d78cc041297526ec9177698ec54c1a78/1/0/100463848a.jpg,"('images/Apple Royal Gala Italy.jpg', <http.client.HTTPMessage object at 0x044B8F30>)",                    Per Kg        
        American Gala Red Apple        ,https://media.sultan-center.com/media/catalog/product/cache/d78cc041297526ec9177698ec54c1a78/1/0/100456773.jpg,"('images/American Gala Red Apple.jpg', <http.client.HTTPMessage object at 0x044B8E90>)",                    Price Per Kg        
        Green Apple New Zealand        ,https://media.sultan-center.com/media/catalog/product/cache/d78cc041297526ec9177698ec54c1a78/1/0/100459385.jpg,"('images/Green Apple New Zealand.jpg', <http.client.HTTPMessage object at 0x044B8C30>)",                    Per Kg        
        Italian Yellow Apple        ,https://media.sultan-center.com/media/catalog/product/cache/d78cc041297526ec9177698ec54c1a78/1/0/100460935_1.jpg,"('images/Italian Yellow Apple.jpg', <http.client.HTTPMessage object at 0x044B8FF0>)",                    Price Per Kg        
        Green Apple Chile        ,https://media.sultan-center.com/media/catalog/product/cache/d78cc041297526ec9177698ec54c1a78/1/0/100456481.jpg,"('images/Green Apple Chile.jpg', <http.client.HTTPMessage object at 0x044B8D30>)",                    Per Kg        
        Chilean Gala Red Apple        ,https://media.sultan-center.com/media/catalog/product/cache/d78cc041297526ec9177698ec54c1a78/1/0/100456679.jpg,"('images/Chilean Gala Red Apple.jpg', <http.client.HTTPMessage object at 0x044B8F50>)",                    Price Per Kg        
        Usa Golden Apple        ,https://media.sultan-center.com/media/catalog/product/cache/d78cc041297526ec9177698ec54c1a78/1/0/100456228.jpg,"('images/Usa Golden Apple.jpg', <http.client.HTTPMessage object at 0x044B8BF0>)",                    Per Kg        
        Apple Granny Smith Usa        ,https://media.sultan-center.com/media/catalog/product/cache/d78cc041297526ec9177698ec54c1a78/1/0/100452139a.jpg,"('images/Apple Granny Smith Usa.jpg', <http.client.HTTPMessage object at 0x044B8EB0>)",                    Per Kg        
        New Zealand Gala Red Apple        ,https://media.sultan-center.com/media/catalog/product/cache/d78cc041297526ec9177698ec54c1a78/1/0/100450271.jpg,"('images/New Zealand Gala Red Apple.jpg', <http.client.HTTPMessage object at 0x044B8CD0>)",                    Price Per Kg        
        Pears Turkey        ,https://media.sultan-center.com/media/catalog/product/cache/d78cc041297526ec9177698ec54c1a78/1/0/100457342_1.jpg,"('images/Pears Turkey.jpg', <http.client.HTTPMessage object at 0x044B8BD0>)",                    Per Kg        
        African Rosemary Pears        ,https://media.sultan-center.com/media/catalog/product/cache/d78cc041297526ec9177698ec54c1a78/1/0/100450110b.jpg,"('images/African Rosemary Pears.jpg', <http.client.HTTPMessage object at 0x044C9090>)",                    Price Per Kg        
        Round Peaches Jordan        ,https://media.sultan-center.com/media/catalog/product/cache/d78cc041297526ec9177698ec54c1a78/3/0/300526531.jpg,"('images/Round Peaches Jordan.jpg', <http.client.HTTPMessage object at 0x044C9250>)",                    kg        
        Peaches Tunisia        ,https://media.sultan-center.com/media/catalog/product/cache/d78cc041297526ec9177698ec54c1a78/3/0/300011490.jpg,"('images/Peaches Tunisia.jpg', <http.client.HTTPMessage object at 0x044B8C50>)",                    Per Kg        
        Red Globe Grapes Africa         ,https://media.sultan-center.com/media/catalog/product/cache/d78cc041297526ec9177698ec54c1a78/1/0/100457367.jpg,"('images/Red Globe Grapes Africa.jpg', <http.client.HTTPMessage object at 0x044B8850>)",                    Per Kg        
        Red Grapes Peru        ,https://media.sultan-center.com/media/catalog/product/cache/d78cc041297526ec9177698ec54c1a78/3/0/302158541.jpg,"('images/Red Grapes Peru.jpg', <http.client.HTTPMessage object at 0x044B8FF0>)",                    Per Kg        
        Black Grapes Lebanon        ,https://media.sultan-center.com/media/catalog/product/cache/d78cc041297526ec9177698ec54c1a78/3/0/300825397.jpg,"('images/Black Grapes Lebanon.jpg', <http.client.HTTPMessage object at 0x044B8CD0>)",                    per kg        
